"district_id","district_name","block_id","block_name","cluster_id","cluster_name","school_id","school_name","school_management_id","total_students","students_reviewed","gujarati_udayman","gujarati_pragatishil","gujarati_nipun","maths_udayman","maths_pragatishil","maths_nipun"
"2407",AHMEDABAD,"240712",AMC,"2407120002",AMBALI PRIMARY SCHOOL,"24070600102",J.K. PATEL PRATHAMIK SHALA,5,76,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120002",AMBALI PRIMARY SCHOOL,"24070608807",M.K.PATEL PRI .SCHOOL-GHUMA,10,337,337,158,170,9,162,165,10
"2407",AHMEDABAD,"240712",AMC,"2407120002",AMBALI PRIMARY SCHOOL,"24070609615",NEW FLORESCENT PUBLIC SCHOOL,5,81,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120002",AMBALI PRIMARY SCHOOL,"24070609618",SATTVA VIKAS SCHOOL,5,147,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120002",AMBALI PRIMARY SCHOOL,"24070606604",SHILAJ  PRI.SCHOOL,10,413,413,148,184,81,133,207,73
"2407",AHMEDABAD,"240712",AMC,"2407120002",AMBALI PRIMARY SCHOOL,"24070609607",SHIV BALVIDHYA MANDIR,5,209,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120002",AMBALI PRIMARY SCHOOL,"24070609625",SHUBHAMBAL,5,35,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120002",AMBALI PRIMARY SCHOOL,"24070609603",UDGAM SCHOOL FOR CHILDREN,5,2652,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120002",AMBALI PRIMARY SCHOOL,"24070609606",VINAY VIDHYALAY,5,171,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120002",AMBALI PRIMARY SCHOOL,"24070609602",WORLD STAR ACADEMY,5,123,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120003",AMBIKA HINDI SCHOOL NO-1,"24071203510",AMBIKA HINDI SCHOOL NO - 1,10,224,146,38,62,46,39,59,48
"2407",AHMEDABAD,"240712",AMC,"2407120003",AMBIKA HINDI SCHOOL NO-1,"24071203556",DURGAVATI VIDHYALAY PRATHMIK SHALA,5,36,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120003",AMBIKA HINDI SCHOOL NO-1,"24071203509",G.I.D.C. ODHAV HINDI SCHOOL NO - 1,10,671,3,2,1,0,1,2,0
"2407",AHMEDABAD,"240712",AMC,"2407120003",AMBIKA HINDI SCHOOL NO-1,"24071203452",KARNAVATI VIDHYA VIHAR HINDI,5,246,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120003",AMBIKA HINDI SCHOOL NO-1,"24071203516",KARSHANNAGAR HINDI SCH 1,10,576,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120003",AMBIKA HINDI SCHOOL NO-1,"24071203555",NAMASKAR VIDHYA MANDIR PRATHMIK SHALA,5,111,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120003",AMBIKA HINDI SCHOOL NO-1,"24071203536",NEW SHANTI NIKETAN HINDI PRIMARY SCHOOL,5,48,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120003",AMBIKA HINDI SCHOOL NO-1,"24071203508",ODHAV HINDI 1,10,547,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120003",AMBIKA HINDI SCHOOL NO-1,"24071203531",ODHAV HINDI-3,10,538,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120003",AMBIKA HINDI SCHOOL NO-1,"24071203403",PURUSHOTTTAM. NAGAR HINDI - 1,10,341,0,0,0,0,0,0,0
